PRECINCT,D_votes,R_votes
BEXLEY 01-A,450,157
BEXLEY 01-B,722,349
BEXLEY 02-A,592,215
BEXLEY 02-B,678,242
BEXLEY 03-A,572,175
BEXLEY 03-B,454,143
BEXLEY 03-C,381,154
BEXLEY 04-A,250,105
BEXLEY 04-B,438,188
BEXLEY 04-C,542,165
BLENDON-A,229,171
BLENDON-B,109,154
BLENDON-C,299,213
BLENDON-D,495,361
BLENDON-E,327,213
BLENDON-F,288,281
BROWN-A,319,522
BROWN-B,158,263
CANAL WINCHESTER-A,375,439
CANAL WINCHESTER-B,407,442
CANAL WINCHESTER-C,176,247
CANAL WINCHESTER-D,66,95
CANAL WINCHESTER-E,231,273
CANAL WINCHESTER-F,220,327
CLINTON-A,253,158
CLINTON-B,252,131
CLINTON-C,266,94
COLUMBUS 01-A,511,141
COLUMBUS 01-B,414,117
COLUMBUS 01-C,675,156
COLUMBUS 02-A,291,49
COLUMBUS 02-B,575,143
COLUMBUS 02-C,685,175
COLUMBUS 02-D,658,168
COLUMBUS 02-E,562,134
COLUMBUS 02-F,524,140
COLUMBUS 03-A,325,20
COLUMBUS 03-B,352,43
COLUMBUS 03-C,438,63
COLUMBUS 03-D,360,81
COLUMBUS 04-A,318,26
COLUMBUS 04-B,365,31
COLUMBUS 04-C,360,25
COLUMBUS 04-D,337,28
COLUMBUS 05-A,338,21
COLUMBUS 05-B,351,15
COLUMBUS 05-C,262,15
COLUMBUS 05-D,246,23
COLUMBUS 06-A,385,25
COLUMBUS 06-B,531,28
COLUMBUS 06-C,386,31
COLUMBUS 06-D,429,32
COLUMBUS 06-E,351,18
COLUMBUS 06-F,378,24
COLUMBUS 07-A,259,18
COLUMBUS 07-B,535,41
COLUMBUS 07-C,396,26
COLUMBUS 07-D,463,36
COLUMBUS 07-E,199,14
COLUMBUS 08-A,612,178
COLUMBUS 08-B,732,171
COLUMBUS 08-C,637,184
COLUMBUS 08-D,583,164
COLUMBUS 08-E,343,129
COLUMBUS 08-F,379,51
COLUMBUS 09-A,284,126
COLUMBUS 09-B,288,102
COLUMBUS 10-A,214,65
COLUMBUS 10-B,122,21
COLUMBUS 10-C,370,79
COLUMBUS 10-D,363,146
COLUMBUS 10-E,497,345
COLUMBUS 11-A,215,61
COLUMBUS 11-B,214,139
COLUMBUS 11-C,358,205
COLUMBUS 11-D,228,191
COLUMBUS 11-E,258,232
COLUMBUS 12-A,634,86
COLUMBUS 12-B,639,69
COLUMBUS 12-C,700,125
COLUMBUS 12-D,774,186
COLUMBUS 13-A,195,17
COLUMBUS 13-B,275,13
COLUMBUS 13-C,251,7
COLUMBUS 13-D,339,22
COLUMBUS 14-A,673,226
COLUMBUS 14-B,568,114
COLUMBUS 14-C,574,114
COLUMBUS 14-D,408,63
COLUMBUS 14-E,382,192
COLUMBUS 14-F,599,136
COLUMBUS 14-G,396,75
COLUMBUS 15-A,444,63
COLUMBUS 15-B,412,190
COLUMBUS 16-A,594,62
COLUMBUS 16-B,431,83
COLUMBUS 16-C,465,46
COLUMBUS 16-D,378,48
COLUMBUS 16-E,444,63
COLUMBUS 16-F,295,42
COLUMBUS 17-A,378,57
COLUMBUS 17-B,473,20
COLUMBUS 17-C,252,9
COLUMBUS 17-D,259,12
COLUMBUS 18-A,694,74
COLUMBUS 18-B,607,88
COLUMBUS 18-C,766,77
COLUMBUS 18-D,475,63
COLUMBUS 18-E,634,64
COLUMBUS 18-F,624,64
COLUMBUS 19-A,487,151
COLUMBUS 19-B,634,190
COLUMBUS 19-C,586,187
COLUMBUS 19-D,630,203
COLUMBUS 19-E,487,164
COLUMBUS 19-F,700,156
COLUMBUS 19-G,505,175
COLUMBUS 19-H,771,113
COLUMBUS 20-A,935,260
COLUMBUS 20-B,674,71
COLUMBUS 20-C,683,101
COLUMBUS 21-A,502,222
COLUMBUS 21-B,759,236
COLUMBUS 21-C,478,194
COLUMBUS 21-D,392,79
COLUMBUS 21-E,627,242
COLUMBUS 21-F,536,195
COLUMBUS 22-A,571,219
COLUMBUS 22-B,497,137
COLUMBUS 22-C,610,175
COLUMBUS 22-D,543,276
COLUMBUS 22-E,303,169
COLUMBUS 22-F,360,176
COLUMBUS 22-G,558,169
COLUMBUS 23-A,350,79
COLUMBUS 23-B,415,74
COLUMBUS 23-C,470,149
COLUMBUS 23-D,474,150
COLUMBUS 24-A,242,68
COLUMBUS 24-B,294,111
COLUMBUS 24-C,288,116
COLUMBUS 24-D,317,54
COLUMBUS 24-E,286,124
COLUMBUS 25-A,400,33
COLUMBUS 25-B,383,29
COLUMBUS 25-C,504,19
COLUMBUS 25-D,441,19
COLUMBUS 25-E,443,16
COLUMBUS 25-F,376,26
COLUMBUS 25-G,265,10
COLUMBUS 25-H,450,30
COLUMBUS 26-A,452,41
COLUMBUS 26-B,441,36
COLUMBUS 26-C,306,61
COLUMBUS 27-A,319,52
COLUMBUS 27-B,268,36
COLUMBUS 27-C,397,226
COLUMBUS 27-D,391,106
COLUMBUS 27-E,300,86
COLUMBUS 27-F,421,298
COLUMBUS 28-A,474,29
COLUMBUS 28-B,439,27
COLUMBUS 28-C,479,61
COLUMBUS 28-D,427,105
COLUMBUS 28-E,909,109
COLUMBUS 28-F,431,106
COLUMBUS 29-A,219,80
COLUMBUS 29-B,118,63
COLUMBUS 29-C,146,168
COLUMBUS 29-D,185,207
COLUMBUS 30-A,627,289
COLUMBUS 30-B,290,86
COLUMBUS 30-C,552,278
COLUMBUS 30-D,286,139
COLUMBUS 31-A,289,49
COLUMBUS 31-B,173,107
COLUMBUS 31-C,146,68
COLUMBUS 31-D,87,35
COLUMBUS 31-E,131,60
COLUMBUS 32-A,570,229
COLUMBUS 32-B,373,165
COLUMBUS 32-C,319,144
COLUMBUS 32-D,365,137
COLUMBUS 33-A,313,67
COLUMBUS 33-B,524,96
COLUMBUS 33-C,759,166
COLUMBUS 33-D,539,156
COLUMBUS 33-E,540,89
COLUMBUS 33-F,399,109
COLUMBUS 33-G,506,168
COLUMBUS 33-H,335,55
COLUMBUS 33-I,329,114
COLUMBUS 34-A,422,87
COLUMBUS 34-B,440,91
COLUMBUS 34-C,244,55
COLUMBUS 34-D,351,107
COLUMBUS 34-E,303,72
COLUMBUS 34-F,478,114
COLUMBUS 35-A,337,16
COLUMBUS 35-B,426,15
COLUMBUS 35-C,448,26
COLUMBUS 35-D,384,32
COLUMBUS 36-A,235,218
COLUMBUS 36-B,339,217
COLUMBUS 36-C,597,153
COLUMBUS 36-D,176,178
COLUMBUS 36-E,282,146
COLUMBUS 37-A,166,70
COLUMBUS 37-B,161,47
COLUMBUS 37-C,219,118
