PRECINCT,D_votes,R_votes
BEXLEY 01-A,466,143
BEXLEY 01-B,772,311
BEXLEY 02-A,613,193
BEXLEY 02-B,714,216
BEXLEY 03-A,586,171
BEXLEY 03-B,481,124
BEXLEY 03-C,404,135
BEXLEY 04-A,263,94
BEXLEY 04-B,461,170
BEXLEY 04-C,551,162
BLENDON-A,240,157
BLENDON-C,324,194
BLENDON-D,463,283
BLENDON-E,341,207
BLENDON-F,298,288
CANAL WINCHESTER-D,0,3
CLINTON-A,259,161
CLINTON-B,263,133
CLINTON-C,264,83
COLUMBUS 01-A,515,135
COLUMBUS 01-B,439,106
COLUMBUS 01-C,697,146
COLUMBUS 02-A,297,55
COLUMBUS 02-C,22,6
COLUMBUS 02-E,581,124
COLUMBUS 03-A,334,24
COLUMBUS 03-B,368,36
COLUMBUS 03-C,448,63
COLUMBUS 03-D,370,74
COLUMBUS 04-A,324,25
COLUMBUS 04-B,378,28
COLUMBUS 04-C,373,24
COLUMBUS 04-D,344,23
COLUMBUS 05-A,342,22
COLUMBUS 05-B,361,17
COLUMBUS 05-C,271,14
COLUMBUS 05-D,262,17
COLUMBUS 06-A,386,21
COLUMBUS 06-B,547,20
COLUMBUS 06-C,407,22
COLUMBUS 06-D,442,32
COLUMBUS 06-E,363,12
COLUMBUS 06-F,391,17
COLUMBUS 07-A,274,17
COLUMBUS 07-B,548,34
COLUMBUS 07-C,405,17
COLUMBUS 07-D,481,36
COLUMBUS 07-E,205,13
COLUMBUS 08-A,647,155
COLUMBUS 08-B,774,146
COLUMBUS 08-E,367,113
COLUMBUS 08-F,398,45
COLUMBUS 09-A,314,108
COLUMBUS 09-B,311,95
COLUMBUS 10-A,218,60
COLUMBUS 10-B,127,28
COLUMBUS 10-C,395,83
COLUMBUS 10-D,2,0
COLUMBUS 10-E,495,298
COLUMBUS 11-A,215,56
COLUMBUS 11-B,227,144
COLUMBUS 11-C,378,196
COLUMBUS 11-D,241,188
COLUMBUS 11-E,271,232
COLUMBUS 12-A,653,83
COLUMBUS 12-B,668,61
COLUMBUS 12-C,718,113
COLUMBUS 12-D,796,161
COLUMBUS 13-A,214,11
COLUMBUS 13-B,295,9
COLUMBUS 13-C,250,7
COLUMBUS 13-D,346,22
COLUMBUS 14-C,3,0
COLUMBUS 14-E,141,82
COLUMBUS 15-A,457,62
COLUMBUS 16-C,479,52
COLUMBUS 16-D,300,37
COLUMBUS 16-F,305,41
COLUMBUS 17-A,392,59
COLUMBUS 17-B,497,9
COLUMBUS 17-C,269,6
COLUMBUS 17-D,270,8
COLUMBUS 19-B,42,16
COLUMBUS 19-F,173,32
COLUMBUS 20-B,262,29
COLUMBUS 22-D,568,253
COLUMBUS 22-E,326,158
COLUMBUS 22-F,390,145
COLUMBUS 23-A,371,68
COLUMBUS 23-B,438,69
COLUMBUS 23-C,501,135
COLUMBUS 23-D,503,141
COLUMBUS 24-A,245,70
COLUMBUS 24-B,305,109
COLUMBUS 24-C,299,123
COLUMBUS 24-D,322,56
COLUMBUS 24-E,310,117
COLUMBUS 25-A,416,27
COLUMBUS 25-B,390,27
COLUMBUS 25-C,524,14
COLUMBUS 25-D,450,15
COLUMBUS 25-E,454,11
COLUMBUS 25-F,391,21
COLUMBUS 25-G,274,8
COLUMBUS 25-H,464,24
COLUMBUS 26-A,471,32
COLUMBUS 26-B,454,30
COLUMBUS 26-C,328,54
COLUMBUS 27-A,331,50
COLUMBUS 27-B,278,31
COLUMBUS 27-C,416,212
COLUMBUS 27-D,415,106
COLUMBUS 27-E,316,83
COLUMBUS 27-F,447,268
COLUMBUS 28-A,487,25
COLUMBUS 28-B,462,16
COLUMBUS 28-C,490,50
COLUMBUS 28-D,440,97
COLUMBUS 28-E,931,93
COLUMBUS 28-F,446,92
COLUMBUS 29-A,231,76
