PRECINCT,D_votes,R_votes
BEXLEY 01-A,398,140
BEXLEY 01-B,736,297
BEXLEY 02-A,577,193
BEXLEY 02-B,690,225
BEXLEY 03-A,554,191
BEXLEY 03-B,434,137
BEXLEY 03-C,411,125
BEXLEY 04-A,223,80
BEXLEY 04-B,421,153
BEXLEY 04-C,400,127
BLENDON-A,253,109
BLENDON-B,144,110
BLENDON-C,331,143
BLENDON-D,582,267
BLENDON-E,362,142
BLENDON-F,363,156
BROWN-A,409,380
BROWN-B,238,195
CANAL WINCHESTER-A,405,353
CANAL WINCHESTER-B,544,431
CANAL WINCHESTER-C,253,160
CANAL WINCHESTER-D,105,68
CANAL WINCHESTER-E,247,232
CANAL WINCHESTER-F,323,320
CLINTON-A,294,89
CLINTON-B,204,68
CLINTON-C,223,56
COLUMBUS 01-A,564,75
COLUMBUS 01-B,474,56
COLUMBUS 01-C,662,112
COLUMBUS 02-A,402,40
COLUMBUS 02-B,602,77
COLUMBUS 02-C,703,114
COLUMBUS 02-D,574,106
COLUMBUS 02-E,517,101
COLUMBUS 02-F,526,102
COLUMBUS 03-A,341,33
COLUMBUS 03-B,289,77
COLUMBUS 03-C,497,76
COLUMBUS 03-D,274,71
COLUMBUS 04-A,326,34
COLUMBUS 04-B,346,36
COLUMBUS 04-C,302,25
COLUMBUS 04-D,322,36
COLUMBUS 05-A,319,53
COLUMBUS 05-B,269,41
COLUMBUS 05-C,186,43
COLUMBUS 05-D,214,25
COLUMBUS 06-A,238,57
COLUMBUS 06-B,293,135
COLUMBUS 06-C,224,74
COLUMBUS 06-D,390,75
COLUMBUS 06-E,293,37
COLUMBUS 06-F,270,70
COLUMBUS 07-A,224,36
COLUMBUS 07-B,357,71
COLUMBUS 07-C,264,40
COLUMBUS 07-D,486,67
COLUMBUS 07-E,71,72
COLUMBUS 08-A,375,61
COLUMBUS 08-B,267,55
COLUMBUS 08-C,577,92
COLUMBUS 08-D,623,130
COLUMBUS 08-E,320,104
COLUMBUS 08-F,372,40
COLUMBUS 08-G,363,49
COLUMBUS 08-H,378,56
COLUMBUS 09-A,392,73
COLUMBUS 09-B,438,88
COLUMBUS 10-A,226,37
COLUMBUS 10-B,92,55
COLUMBUS 10-C,270,83
COLUMBUS 10-D,476,92
COLUMBUS 10-E,471,224
COLUMBUS 11-A,95,56
COLUMBUS 11-B,198,92
COLUMBUS 11-C,368,140
COLUMBUS 11-D,299,113
COLUMBUS 11-E,264,178
COLUMBUS 12-A,415,28
COLUMBUS 12-B,791,73
COLUMBUS 12-C,636,39
COLUMBUS 12-D,420,52
COLUMBUS 12-E,444,56
COLUMBUS 13-A,197,33
COLUMBUS 13-B,149,30
COLUMBUS 13-C,100,32
COLUMBUS 13-D,162,46
COLUMBUS 14-A,755,255
COLUMBUS 14-B,486,45
COLUMBUS 14-C,525,56
COLUMBUS 14-D,361,38
COLUMBUS 14-E,469,126
COLUMBUS 14-F,566,102
COLUMBUS 14-G,369,35
COLUMBUS 15-A,258,51
COLUMBUS 15-B,376,160
COLUMBUS 16-A,376,53
COLUMBUS 16-B,314,48
