PRECINCT,D_votes,R_votes
COLUMBUS 01-B,191,86
COLUMBUS 01-C,295,125
COLUMBUS 02-A,157,73
COLUMBUS 02-B,254,83
COLUMBUS 02-C,313,105
COLUMBUS 02-D,256,90
COLUMBUS 02-E,236,95
COLUMBUS 02-F,244,80
COLUMBUS 03-A,108,97
COLUMBUS 03-B,106,117
COLUMBUS 03-C,167,136
COLUMBUS 03-D,76,82
COLUMBUS 04-A,131,98
COLUMBUS 04-B,122,96
COLUMBUS 04-C,107,53
COLUMBUS 04-D,102,89
COLUMBUS 05-A,100,109
COLUMBUS 05-B,72,101
COLUMBUS 05-C,29,99
COLUMBUS 05-D,67,64
COLUMBUS 06-A,24,134
COLUMBUS 06-B,71,268
COLUMBUS 06-C,32,119
COLUMBUS 06-D,143,111
COLUMBUS 06-E,96,109
COLUMBUS 06-F,97,144
COLUMBUS 07-A,59,80
COLUMBUS 07-B,111,147
COLUMBUS 07-C,51,112
COLUMBUS 07-D,155,149
COLUMBUS 07-E,10,36
COLUMBUS 08-A,122,81
COLUMBUS 08-B,111,81
COLUMBUS 08-C,209,80
COLUMBUS 08-D,276,104
COLUMBUS 08-E,122,102
COLUMBUS 08-F,125,63
COLUMBUS 08-G,101,81
COLUMBUS 08-H,127,102
COLUMBUS 09-A,118,79
COLUMBUS 09-B,173,93
COLUMBUS 10-A,52,34
COLUMBUS 10-B,10,20
COLUMBUS 10-C,75,89
COLUMBUS 10-D,120,98
COLUMBUS 10-E,158,100
COLUMBUS 11-A,21,37
COLUMBUS 11-B,53,53
COLUMBUS 11-C,127,78
COLUMBUS 11-D,65,83
COLUMBUS 11-E,80,57
COLUMBUS 12-A,124,33
COLUMBUS 12-B,273,108
COLUMBUS 12-C,227,74
COLUMBUS 12-D,180,48
COLUMBUS 12-E,116,52
COLUMBUS 13-A,40,62
COLUMBUS 13-B,11,64
COLUMBUS 13-C,10,39
COLUMBUS 13-D,29,100
COLUMBUS 14-A,357,134
COLUMBUS 14-B,201,59
COLUMBUS 14-C,260,70
COLUMBUS 14-D,143,37
COLUMBUS 14-E,194,76
COLUMBUS 14-F,263,62
COLUMBUS 14-G,181,32
COLUMBUS 15-A,56,39
COLUMBUS 15-B,200,103
COLUMBUS 16-A,109,66
COLUMBUS 16-B,103,47
COLUMBUS 16-C,67,22
COLUMBUS 16-D,48,36
COLUMBUS 16-E,35,23
COLUMBUS 16-F,28,21
